num.trans.involved.in,sample,peak
14,Sample_S19S_0069_Wat,201.0768122
11,Sample_S19S_0069_Wat,201.1131969
6,Sample_S19S_0069_Wat,205.1597578
14,Sample_S19S_0069_Wat,209.0455114
16,Sample_S19S_0069_Wat,209.0818981
20,Sample_S19S_0069_Wat,211.0247874
19,Sample_S19S_0069_Wat,211.0611736
12,Sample_S19S_0069_Wat,213.0404285
17,Sample_S19S_0069_Wat,215.0924726
11,Sample_S19S_0069_Wat,215.1288446
14,Sample_S19S_0069_Wat,217.1081169
10,Sample_S19S_0069_Wat,221.0818912
4,Sample_S19S_0069_Wat,221.1546776
36,Sample_S19S_0069_Wat,225.0404494
27,Sample_S19S_0069_Wat,227.092466
13,Sample_S19S_0069_Wat,229.14452
9,Sample_S19S_0069_Wat,233.1546845
36,Sample_S19S_0069_Wat,237.0768351
9,Sample_S19S_0069_Wat,239.0349883
57,Sample_S19S_0069_Wat,239.0561117
4,Sample_S19S_0069_Wat,239.0673352
55,Sample_S19S_0069_Wat,239.092497
29,Sample_S19S_0069_Wat,239.1288753
4,Sample_S19S_0069_Wat,242.139775
3,Sample_S19S_0069_Wat,242.1761465
24,Sample_S19S_0069_Wat,243.0873816
14,Sample_S19S_0069_Wat,243.1601665
2,Sample_S19S_0069_Wat,245.0489119
36,Sample_S19S_0069_Wat,245.1030642
62,Sample_S19S_0069_Wat,249.0768527
47,Sample_S19S_0069_Wat,251.0197332
36,Sample_S19S_0069_Wat,251.0560986
62,Sample_S19S_0069_Wat,253.0353983
79,Sample_S19S_0069_Wat,253.0717756
26,Sample_S19S_0069_Wat,253.1081345
57,Sample_S19S_0069_Wat,255.0510433
71,Sample_S19S_0069_Wat,255.0874163
26,Sample_S19S_0069_Wat,255.1237776
1,Sample_S19S_0069_Wat,255.2329705
64,Sample_S19S_0069_Wat,257.0666765
42,Sample_S19S_0069_Wat,257.1030521
27,Sample_S19S_0069_Wat,257.1394516
12,Sample_S19S_0069_Wat,258.0619166
3,Sample_S19S_0069_Wat,258.1347123
39,Sample_S19S_0069_Wat,259.1187072
66,Sample_S19S_0069_Wat,261.0768598
