num.trans.involved.in,sample,peak
5,Sample_S19S_0016_Wat,205.1597578
12,Sample_S19S_0016_Wat,209.0455114
3,Sample_S19S_0016_Wat,210.0407624
18,Sample_S19S_0016_Wat,213.0768216
17,Sample_S19S_0016_Wat,213.1132092
18,Sample_S19S_0016_Wat,215.0924726
4,Sample_S19S_0016_Wat,221.1546776
25,Sample_S19S_0016_Wat,225.0768195
20,Sample_S19S_0016_Wat,227.092466
20,Sample_S19S_0016_Wat,227.1288722
9,Sample_S19S_0016_Wat,233.1546845
31,Sample_S19S_0016_Wat,235.0611873
37,Sample_S19S_0016_Wat,237.0768351
1,Sample_S19S_0016_Wat,238.9629644
8,Sample_S19S_0016_Wat,239.0349883
63,Sample_S19S_0016_Wat,239.092497
33,Sample_S19S_0016_Wat,239.1288753
8,Sample_S19S_0016_Wat,242.139775
3,Sample_S19S_0016_Wat,242.1761465
21,Sample_S19S_0016_Wat,243.0873816
6,Sample_S19S_0016_Wat,243.1237626
2,Sample_S19S_0016_Wat,245.0489119
42,Sample_S19S_0016_Wat,245.1030642
1,Sample_S19S_0016_Wat,249.0227066
79,Sample_S19S_0016_Wat,251.0925063
33,Sample_S19S_0016_Wat,251.1289035
73,Sample_S19S_0016_Wat,253.0717756
32,Sample_S19S_0016_Wat,253.1081345
33,Sample_S19S_0016_Wat,253.1445337
42,Sample_S19S_0016_Wat,255.0510433
73,Sample_S19S_0016_Wat,255.0874163
26,Sample_S19S_0016_Wat,255.1237776
65,Sample_S19S_0016_Wat,257.0666765
41,Sample_S19S_0016_Wat,257.1030521
34,Sample_S19S_0016_Wat,257.1394516
44,Sample_S19S_0016_Wat,259.1187072
30,Sample_S19S_0016_Wat,263.0924815
57,Sample_S19S_0016_Wat,265.0717855
66,Sample_S19S_0016_Wat,265.1081545
29,Sample_S19S_0016_Wat,265.1445692
3,Sample_S19S_0016_Wat,265.1479151
1,Sample_S19S_0016_Wat,266.9942715
62,Sample_S19S_0016_Wat,267.0510336
75,Sample_S19S_0016_Wat,267.0874299
64,Sample_S19S_0016_Wat,267.123805
27,Sample_S19S_0016_Wat,267.1601848
72,Sample_S19S_0016_Wat,269.0666802
73,Sample_S19S_0016_Wat,269.1030627
