num.trans.involved.in,sample,peak
34,Sample_S19S_0005_Wat,201.0404313
29,Sample_S19S_0005_Wat,201.0768122
23,Sample_S19S_0005_Wat,205.0505947
5,Sample_S19S_0005_Wat,205.1597578
35,Sample_S19S_0005_Wat,207.0298709
15,Sample_S19S_0005_Wat,209.0091207
37,Sample_S19S_0005_Wat,209.0455114
31,Sample_S19S_0005_Wat,209.0818981
18,Sample_S19S_0005_Wat,210.0771409
52,Sample_S19S_0005_Wat,211.0611736
28,Sample_S19S_0005_Wat,211.097555
20,Sample_S19S_0005_Wat,212.0564229
28,Sample_S19S_0005_Wat,213.0404285
41,Sample_S19S_0005_Wat,213.0768216
17,Sample_S19S_0005_Wat,214.0720739
33,Sample_S19S_0005_Wat,215.0560786
37,Sample_S19S_0005_Wat,215.0924726
41,Sample_S19S_0005_Wat,217.0717431
13,Sample_S19S_0005_Wat,219.0662407
38,Sample_S19S_0005_Wat,221.0455191
20,Sample_S19S_0005_Wat,221.0818912
6,Sample_S19S_0005_Wat,222.0407486
13,Sample_S19S_0005_Wat,222.0771399
45,Sample_S19S_0005_Wat,223.0247931
19,Sample_S19S_0005_Wat,223.0611523
37,Sample_S19S_0005_Wat,223.0975605
27,Sample_S19S_0005_Wat,224.0564233
80,Sample_S19S_0005_Wat,225.0404494
49,Sample_S19S_0005_Wat,225.0768195
10,Sample_S19S_0005_Wat,225.1131873
16,Sample_S19S_0005_Wat,226.0356785
35,Sample_S19S_0005_Wat,226.072077
37,Sample_S19S_0005_Wat,227.056079
42,Sample_S19S_0005_Wat,227.092466
7,Sample_S19S_0005_Wat,228.0513116
41,Sample_S19S_0005_Wat,229.0353497
48,Sample_S19S_0005_Wat,229.0717413
29,Sample_S19S_0005_Wat,229.1081151
45,Sample_S19S_0005_Wat,231.051012
39,Sample_S19S_0005_Wat,231.0873835
38,Sample_S19S_0005_Wat,233.0455307
34,Sample_S19S_0005_Wat,233.0819208
7,Sample_S19S_0005_Wat,233.1546845
42,Sample_S19S_0005_Wat,235.0247912
57,Sample_S19S_0005_Wat,235.0611873
37,Sample_S19S_0005_Wat,235.0975749
50,Sample_S19S_0005_Wat,236.0564412
46,Sample_S19S_0005_Wat,237.0404421
60,Sample_S19S_0005_Wat,237.0768351
36,Sample_S19S_0005_Wat,237.1132227
12,Sample_S19S_0005_Wat,238.0356696
24,Sample_S19S_0005_Wat,238.0720655
69,Sample_S19S_0005_Wat,239.0197221
102,Sample_S19S_0005_Wat,239.0561117
15,Sample_S19S_0005_Wat,239.0673352
91,Sample_S19S_0005_Wat,239.092497
41,Sample_S19S_0005_Wat,239.1288753
