num.trans.involved.in,sample,peak
4,Sample_S19S_0018_Sed,241.0466195
9,Sample_S19S_0018_Sed,241.0717422
7,Sample_S19S_0018_Sed,241.1081087
7,Sample_S19S_0018_Sed,241.1193918
10,Sample_S19S_0018_Sed,241.1445007
25,Sample_S19S_0018_Sed,241.1809156
6,Sample_S19S_0018_Sed,242.0670034
12,Sample_S19S_0018_Sed,242.139775
5,Sample_S19S_0018_Sed,242.1761465
31,Sample_S19S_0018_Sed,243.0510224
11,Sample_S19S_0018_Sed,243.0873816
9,Sample_S19S_0018_Sed,243.0986597
8,Sample_S19S_0018_Sed,243.1237626
17,Sample_S19S_0018_Sed,243.1601665
33,Sample_S19S_0018_Sed,243.1965883
3,Sample_S19S_0018_Sed,245.0489119
45,Sample_S19S_0018_Sed,245.0666847
44,Sample_S19S_0018_Sed,245.1030642
3,Sample_S19S_0018_Sed,245.1142776
22,Sample_S19S_0018_Sed,245.1394342
5,Sample_S19S_0018_Sed,246.1095509
48,Sample_S19S_0018_Sed,247.0823368
40,Sample_S19S_0018_Sed,247.118733
5,Sample_S19S_0018_Sed,247.1703275
13,Sample_S19S_0018_Sed,248.1139872
28,Sample_S19S_0018_Sed,249.1496147
6,Sample_S19S_0018_Sed,250.1448617
4,Sample_S19S_0018_Sed,251.0594793
2,Sample_S19S_0018_Sed,251.0785764
26,Sample_S19S_0018_Sed,251.1289035
44,Sample_S19S_0018_Sed,253.0717756
17,Sample_S19S_0018_Sed,253.1081345
38,Sample_S19S_0018_Sed,253.1445337
38,Sample_S19S_0018_Sed,253.1809275
27,Sample_S19S_0018_Sed,255.0510433
2,Sample_S19S_0018_Sed,255.0622462
1,Sample_S19S_0018_Sed,255.0663123
64,Sample_S19S_0018_Sed,255.0874163
21,Sample_S19S_0018_Sed,255.1237776
42,Sample_S19S_0018_Sed,255.1602018
37,Sample_S19S_0018_Sed,255.1965909
21,Sample_S19S_0018_Sed,255.2329705
2,Sample_S19S_0018_Sed,257.0415582
40,Sample_S19S_0018_Sed,257.0666765
32,Sample_S19S_0018_Sed,257.1030521
11,Sample_S19S_0018_Sed,257.1143128
44,Sample_S19S_0018_Sed,257.1394516
31,Sample_S19S_0018_Sed,257.175834
34,Sample_S19S_0018_Sed,257.2122374
13,Sample_S19S_0018_Sed,258.1347123
12,Sample_S19S_0018_Sed,258.145966
49,Sample_S19S_0018_Sed,259.0823405
49,Sample_S19S_0018_Sed,259.1187072
10,Sample_S19S_0018_Sed,259.1299532
45,Sample_S19S_0018_Sed,259.1551113
25,Sample_S19S_0018_Sed,259.1914889
12,Sample_S19S_0018_Sed,260.1503532
34,Sample_S19S_0018_Sed,261.0980071
3,Sample_S19S_0018_Sed,261.1244971
45,Sample_S19S_0018_Sed,261.1343647
14,Sample_S19S_0018_Sed,262.1660448
1,Sample_S19S_0018_Sed,264.0473979
4,Sample_S19S_0018_Sed,265.0578564
1,Sample_S19S_0018_Sed,265.1479151
6,Sample_S19S_0018_Sed,265.1575521
4,Sample_S19S_0018_Sed,266.089493
28,Sample_S19S_0018_Sed,267.0510336
4,Sample_S19S_0018_Sed,267.0735078
40,Sample_S19S_0018_Sed,267.0874299
52,Sample_S19S_0018_Sed,267.123805
32,Sample_S19S_0018_Sed,267.1601848
32,Sample_S19S_0018_Sed,267.1965985
43,Sample_S19S_0018_Sed,269.0666802
49,Sample_S19S_0018_Sed,269.1030627
43,Sample_S19S_0018_Sed,269.1394657
44,Sample_S19S_0018_Sed,269.1758579
34,Sample_S19S_0018_Sed,269.2122378
5,Sample_S19S_0018_Sed,271.0645721
40,Sample_S19S_0018_Sed,271.0823212
60,Sample_S19S_0018_Sed,271.118718
14,Sample_S19S_0018_Sed,271.1299759
42,Sample_S19S_0018_Sed,271.1551343
42,Sample_S19S_0018_Sed,271.1914941
33,Sample_S19S_0018_Sed,271.227892
12,Sample_S19S_0018_Sed,272.1504094
49,Sample_S19S_0018_Sed,273.0979879
11,Sample_S19S_0018_Sed,273.109239
44,Sample_S19S_0018_Sed,273.1343844
49,Sample_S19S_0018_Sed,273.1707658
37,Sample_S19S_0018_Sed,273.2071526
43,Sample_S19S_0018_Sed,275.1136274
38,Sample_S19S_0018_Sed,275.1500444
32,Sample_S19S_0018_Sed,277.1293085
31,Sample_S19S_0018_Sed,277.1445377
1,Sample_S19S_0018_Sed,278.0630512
8,Sample_S19S_0018_Sed,279.0986672
28,Sample_S19S_0018_Sed,279.1238221
3,Sample_S19S_0018_Sed,279.1562152
33,Sample_S19S_0018_Sed,279.160186
1,Sample_S19S_0018_Sed,280.068733
10,Sample_S19S_0018_Sed,280.1038615
41,Sample_S19S_0018_Sed,281.0666829
24,Sample_S19S_0018_Sed,281.1030502
50,Sample_S19S_0018_Sed,281.1394597
34,Sample_S19S_0018_Sed,281.1758716
3,Sample_S19S_0018_Sed,282.0844159
21,Sample_S19S_0018_Sed,283.0823169
63,Sample_S19S_0018_Sed,283.118715
2,Sample_S19S_0018_Sed,283.1373752
39,Sample_S19S_0018_Sed,283.1551309
24,Sample_S19S_0018_Sed,283.1915306
14,Sample_S19S_0018_Sed,283.2279218
6,Sample_S19S_0018_Sed,283.2642602
7,Sample_S19S_0018_Sed,284.1616007
18,Sample_S19S_0018_Sed,285.0616357
7,Sample_S19S_0018_Sed,285.1262347
40,Sample_S19S_0018_Sed,285.1343948
42,Sample_S19S_0018_Sed,285.17075
12,Sample_S19S_0018_Sed,285.2071124
44,Sample_S19S_0018_Sed,287.0772537
7,Sample_S19S_0018_Sed,287.0958808
54,Sample_S19S_0018_Sed,287.1136282
13,Sample_S19S_0018_Sed,287.1248864
