num.trans.involved.in,sample,peak
43,Sample_S19S_0066_Sed,241.03537
21,Sample_S19S_0066_Sed,241.0717422
15,Sample_S19S_0066_Sed,241.1081087
5,Sample_S19S_0066_Sed,241.1193918
12,Sample_S19S_0066_Sed,241.1445007
26,Sample_S19S_0066_Sed,241.1809156
14,Sample_S19S_0066_Sed,242.0670034
13,Sample_S19S_0066_Sed,242.139775
4,Sample_S19S_0066_Sed,242.1761465
48,Sample_S19S_0066_Sed,243.0510224
16,Sample_S19S_0066_Sed,243.0873816
12,Sample_S19S_0066_Sed,243.1237626
19,Sample_S19S_0066_Sed,243.1601665
30,Sample_S19S_0066_Sed,243.1965883
44,Sample_S19S_0066_Sed,245.0455587
3,Sample_S19S_0066_Sed,245.0489119
72,Sample_S19S_0066_Sed,245.0666847
59,Sample_S19S_0066_Sed,245.1030642
4,Sample_S19S_0066_Sed,245.1142776
23,Sample_S19S_0066_Sed,245.1394342
4,Sample_S19S_0066_Sed,246.098296
5,Sample_S19S_0066_Sed,246.1095509
22,Sample_S19S_0066_Sed,247.024801
45,Sample_S19S_0066_Sed,247.0612011
65,Sample_S19S_0066_Sed,247.0823368
7,Sample_S19S_0066_Sed,247.0935696
52,Sample_S19S_0066_Sed,247.118733
6,Sample_S19S_0066_Sed,247.1703275
18,Sample_S19S_0066_Sed,248.1139872
20,Sample_S19S_0066_Sed,249.0040636
54,Sample_S19S_0066_Sed,249.0404675
60,Sample_S19S_0066_Sed,249.0768527
23,Sample_S19S_0066_Sed,249.1132224
35,Sample_S19S_0066_Sed,249.1496147
7,Sample_S19S_0066_Sed,250.1448617
49,Sample_S19S_0066_Sed,251.0197332
33,Sample_S19S_0066_Sed,251.0560986
2,Sample_S19S_0066_Sed,251.0594793
2,Sample_S19S_0066_Sed,251.0785764
88,Sample_S19S_0066_Sed,251.0925063
4,Sample_S19S_0066_Sed,251.0958765
32,Sample_S19S_0066_Sed,251.1136461
39,Sample_S19S_0066_Sed,251.1289035
1,Sample_S19S_0066_Sed,252.0911243
31,Sample_S19S_0066_Sed,252.9989785
59,Sample_S19S_0066_Sed,253.0353983
83,Sample_S19S_0066_Sed,253.0717756
3,Sample_S19S_0066_Sed,253.0829986
23,Sample_S19S_0066_Sed,253.1081345
48,Sample_S19S_0066_Sed,253.1445337
14,Sample_S19S_0066_Sed,254.1398205
69,Sample_S19S_0066_Sed,255.0510433
3,Sample_S19S_0066_Sed,255.0622462
21,Sample_S19S_0066_Sed,255.0663123
92,Sample_S19S_0066_Sed,255.0874163
25,Sample_S19S_0066_Sed,255.1237776
49,Sample_S19S_0066_Sed,255.1602018
17,Sample_S19S_0066_Sed,255.2329705
13,Sample_S19S_0066_Sed,256.0826837
54,Sample_S19S_0066_Sed,257.030304
71,Sample_S19S_0066_Sed,257.0666765
45,Sample_S19S_0066_Sed,257.1030521
56,Sample_S19S_0066_Sed,257.1394516
34,Sample_S19S_0066_Sed,257.175834
29,Sample_S19S_0066_Sed,257.2122374
22,Sample_S19S_0066_Sed,258.0983343
20,Sample_S19S_0066_Sed,258.1347123
12,Sample_S19S_0066_Sed,258.1711136
62,Sample_S19S_0066_Sed,259.0459547
77,Sample_S19S_0066_Sed,259.0823405
55,Sample_S19S_0066_Sed,259.1187072
8,Sample_S19S_0066_Sed,259.1299532
49,Sample_S19S_0066_Sed,259.1551113
26,Sample_S19S_0066_Sed,259.1914889
17,Sample_S19S_0066_Sed,260.1503532
39,Sample_S19S_0066_Sed,261.040468
48,Sample_S19S_0066_Sed,261.061588
61,Sample_S19S_0066_Sed,261.0768598
53,Sample_S19S_0066_Sed,261.0980071
43,Sample_S19S_0066_Sed,261.1132477
54,Sample_S19S_0066_Sed,261.1343647
29,Sample_S19S_0066_Sed,263.019721
54,Sample_S19S_0066_Sed,263.0561329
23,Sample_S19S_0066_Sed,263.0924815
35,Sample_S19S_0066_Sed,263.128908
37,Sample_S19S_0066_Sed,263.1652771
1,Sample_S19S_0066_Sed,264.0473979
52,Sample_S19S_0066_Sed,265.0353938
54,Sample_S19S_0066_Sed,265.0717855
72,Sample_S19S_0066_Sed,265.1081545
39,Sample_S19S_0066_Sed,265.1445692
4,Sample_S19S_0066_Sed,265.1479151
6,Sample_S19S_0066_Sed,265.1575521
19,Sample_S19S_0066_Sed,265.1809039
3,Sample_S19S_0066_Sed,266.089493
36,Sample_S19S_0066_Sed,267.0146829
72,Sample_S19S_0066_Sed,267.0510336
11,Sample_S19S_0066_Sed,267.0663132
3,Sample_S19S_0066_Sed,267.0735078
76,Sample_S19S_0066_Sed,267.0874299
75,Sample_S19S_0066_Sed,267.123805
45,Sample_S19S_0066_Sed,267.1601848
36,Sample_S19S_0066_Sed,267.1965985
42,Sample_S19S_0066_Sed,269.0303205
82,Sample_S19S_0066_Sed,269.0666802
77,Sample_S19S_0066_Sed,269.1030627
60,Sample_S19S_0066_Sed,269.1394657
46,Sample_S19S_0066_Sed,269.1758579
32,Sample_S19S_0066_Sed,269.2122378
13,Sample_S19S_0066_Sed,270.2074858
42,Sample_S19S_0066_Sed,271.0459737
64,Sample_S19S_0066_Sed,271.0823212
12,Sample_S19S_0066_Sed,271.0935785
77,Sample_S19S_0066_Sed,271.118718
49,Sample_S19S_0066_Sed,271.1551343
45,Sample_S19S_0066_Sed,271.1914941
25,Sample_S19S_0066_Sed,271.227892
17,Sample_S19S_0066_Sed,272.1504094
40,Sample_S19S_0066_Sed,273.040478
54,Sample_S19S_0066_Sed,273.061591
76,Sample_S19S_0066_Sed,273.0979879
10,Sample_S19S_0066_Sed,273.109239
