num.trans.involved.in,sample,peak
6,Sample_S19S_0063_Sed,241.0717422
7,Sample_S19S_0063_Sed,241.1081087
9,Sample_S19S_0063_Sed,241.1445007
11,Sample_S19S_0063_Sed,242.139775
4,Sample_S19S_0063_Sed,242.1761465
7,Sample_S19S_0063_Sed,243.0873816
7,Sample_S19S_0063_Sed,243.1237626
17,Sample_S19S_0063_Sed,243.1601665
2,Sample_S19S_0063_Sed,245.0489119
37,Sample_S19S_0063_Sed,245.1030642
22,Sample_S19S_0063_Sed,245.1394342
41,Sample_S19S_0063_Sed,247.0823368
5,Sample_S19S_0063_Sed,247.1703275
26,Sample_S19S_0063_Sed,249.1496147
6,Sample_S19S_0063_Sed,250.1448617
2,Sample_S19S_0063_Sed,251.0594793
45,Sample_S19S_0063_Sed,251.0925063
4,Sample_S19S_0063_Sed,251.0958765
27,Sample_S19S_0063_Sed,251.1289035
14,Sample_S19S_0063_Sed,253.1081345
37,Sample_S19S_0063_Sed,253.1445337
45,Sample_S19S_0063_Sed,255.0874163
17,Sample_S19S_0063_Sed,255.1237776
38,Sample_S19S_0063_Sed,255.1602018
11,Sample_S19S_0063_Sed,255.2329705
23,Sample_S19S_0063_Sed,257.1030521
47,Sample_S19S_0063_Sed,257.1394516
29,Sample_S19S_0063_Sed,257.175834
37,Sample_S19S_0063_Sed,259.0823405
39,Sample_S19S_0063_Sed,259.1187072
1,Sample_S19S_0063_Sed,259.1299532
41,Sample_S19S_0063_Sed,259.1551113
27,Sample_S19S_0063_Sed,261.0980071
10,Sample_S19S_0063_Sed,262.1660448
27,Sample_S19S_0063_Sed,263.1652771
4,Sample_S19S_0063_Sed,265.07514
3,Sample_S19S_0063_Sed,265.1479151
6,Sample_S19S_0063_Sed,265.1575521
13,Sample_S19S_0063_Sed,265.1809039
32,Sample_S19S_0063_Sed,267.0874299
53,Sample_S19S_0063_Sed,267.123805
32,Sample_S19S_0063_Sed,267.1601848
38,Sample_S19S_0063_Sed,269.1030627
46,Sample_S19S_0063_Sed,269.1394657
36,Sample_S19S_0063_Sed,269.1758579
26,Sample_S19S_0063_Sed,269.2122378
24,Sample_S19S_0063_Sed,271.0823212
49,Sample_S19S_0063_Sed,271.118718
38,Sample_S19S_0063_Sed,271.1551343
37,Sample_S19S_0063_Sed,271.1914941
12,Sample_S19S_0063_Sed,272.1504094
42,Sample_S19S_0063_Sed,273.0979879
37,Sample_S19S_0063_Sed,273.1343844
41,Sample_S19S_0063_Sed,273.1707658
27,Sample_S19S_0063_Sed,275.0772487
42,Sample_S19S_0063_Sed,275.1136274
38,Sample_S19S_0063_Sed,275.1500444
34,Sample_S19S_0063_Sed,277.1445377
1,Sample_S19S_0063_Sed,279.1562152
36,Sample_S19S_0063_Sed,279.160186
3,Sample_S19S_0063_Sed,279.1635618
16,Sample_S19S_0063_Sed,281.1030502
51,Sample_S19S_0063_Sed,281.1394597
30,Sample_S19S_0063_Sed,281.1758716
54,Sample_S19S_0063_Sed,283.118715
2,Sample_S19S_0063_Sed,283.1373752
39,Sample_S19S_0063_Sed,283.1551309
18,Sample_S19S_0063_Sed,283.1915306
10,Sample_S19S_0063_Sed,285.0980306
5,Sample_S19S_0063_Sed,285.1262347
38,Sample_S19S_0063_Sed,285.1343948
42,Sample_S19S_0063_Sed,285.17075
10,Sample_S19S_0063_Sed,285.2071124
14,Sample_S19S_0063_Sed,286.1660572
41,Sample_S19S_0063_Sed,287.1136282
48,Sample_S19S_0063_Sed,287.150015
36,Sample_S19S_0063_Sed,287.1864124
13,Sample_S19S_0063_Sed,287.2228145
13,Sample_S19S_0063_Sed,288.1453272
41,Sample_S19S_0063_Sed,289.1292776
40,Sample_S19S_0063_Sed,289.1656738
10,Sample_S19S_0063_Sed,290.1245994
28,Sample_S19S_0063_Sed,291.1237966
33,Sample_S19S_0063_Sed,291.1601932
6,Sample_S19S_0063_Sed,292.1038307
6,Sample_S19S_0063_Sed,292.2129776
38,Sample_S19S_0063_Sed,293.1030793
8,Sample_S19S_0063_Sed,293.1757942
27,Sample_S19S_0063_Sed,293.2122379
51,Sample_S19S_0063_Sed,295.1187213
45,Sample_S19S_0063_Sed,295.1550986
25,Sample_S19S_0063_Sed,295.227888
21,Sample_S19S_0063_Sed,297.0980154
25,Sample_S19S_0063_Sed,297.1344063
4,Sample_S19S_0063_Sed,297.1529844
24,Sample_S19S_0063_Sed,297.1707937
23,Sample_S19S_0063_Sed,299.0772616
41,Sample_S19S_0063_Sed,299.1136455
61,Sample_S19S_0063_Sed,299.1500243
36,Sample_S19S_0063_Sed,299.1864335
14,Sample_S19S_0063_Sed,300.1453117
19,Sample_S19S_0063_Sed,300.1816868
2,Sample_S19S_0063_Sed,301.071792
21,Sample_S19S_0063_Sed,301.092932
35,Sample_S19S_0063_Sed,301.129318
44,Sample_S19S_0063_Sed,301.1656955
37,Sample_S19S_0063_Sed,301.202066
15,Sample_S19S_0063_Sed,302.1609828
33,Sample_S19S_0063_Sed,303.1085414
50,Sample_S19S_0063_Sed,303.1449308
36,Sample_S19S_0063_Sed,303.1813306
12,Sample_S19S_0063_Sed,304.1402446
4,Sample_S19S_0063_Sed,304.1766628
23,Sample_S19S_0063_Sed,305.1758605
3,Sample_S19S_0063_Sed,306.1195211
4,Sample_S19S_0063_Sed,306.155916
4,Sample_S19S_0063_Sed,306.192305
19,Sample_S19S_0063_Sed,307.1187572
3,Sample_S19S_0063_Sed,307.1585022
25,Sample_S19S_0063_Sed,307.1915179
5,Sample_S19S_0063_Sed,309.1013433
47,Sample_S19S_0063_Sed,309.1343649
2,Sample_S19S_0063_Sed,309.1530159
44,Sample_S19S_0063_Sed,309.1707647
5,Sample_S19S_0063_Sed,309.1741269
15,Sample_S19S_0063_Sed,309.2071806
2,Sample_S19S_0063_Sed,310.1144501
20,Sample_S19S_0063_Sed,311.0772659
7,Sample_S19S_0063_Sed,311.105537
