num.trans.involved.in,sample,peak
10,Sample_S19S_0043_Sed,240.0513448
44,Sample_S19S_0043_Sed,241.03537
22,Sample_S19S_0043_Sed,241.0717422
13,Sample_S19S_0043_Sed,241.1081087
9,Sample_S19S_0043_Sed,241.1193918
10,Sample_S19S_0043_Sed,241.1445007
23,Sample_S19S_0043_Sed,242.0670034
5,Sample_S19S_0043_Sed,242.1033669
17,Sample_S19S_0043_Sed,242.139775
3,Sample_S19S_0043_Sed,242.1761465
55,Sample_S19S_0043_Sed,243.0510224
14,Sample_S19S_0043_Sed,243.0873816
15,Sample_S19S_0043_Sed,243.0986597
10,Sample_S19S_0043_Sed,243.1237626
13,Sample_S19S_0043_Sed,243.1601665
18,Sample_S19S_0043_Sed,244.0826525
24,Sample_S19S_0043_Sed,244.1190458
11,Sample_S19S_0043_Sed,244.1554562
47,Sample_S19S_0043_Sed,245.0455587
4,Sample_S19S_0043_Sed,245.0489119
69,Sample_S19S_0043_Sed,245.0666847
56,Sample_S19S_0043_Sed,245.1030642
4,Sample_S19S_0043_Sed,245.1142776
23,Sample_S19S_0043_Sed,245.1394342
6,Sample_S19S_0043_Sed,246.1095509
8,Sample_S19S_0043_Sed,246.134683
21,Sample_S19S_0043_Sed,247.024801
46,Sample_S19S_0043_Sed,247.0612011
57,Sample_S19S_0043_Sed,247.0823368
11,Sample_S19S_0043_Sed,247.0935696
45,Sample_S19S_0043_Sed,247.118733
3,Sample_S19S_0043_Sed,249.0227066
56,Sample_S19S_0043_Sed,249.0404675
58,Sample_S19S_0043_Sed,249.0768527
32,Sample_S19S_0043_Sed,249.1496147
8,Sample_S19S_0043_Sed,250.1448617
44,Sample_S19S_0043_Sed,251.0197332
36,Sample_S19S_0043_Sed,251.0560986
5,Sample_S19S_0043_Sed,251.0594793
1,Sample_S19S_0043_Sed,251.0785764
81,Sample_S19S_0043_Sed,251.0925063
7,Sample_S19S_0043_Sed,251.0958765
34,Sample_S19S_0043_Sed,251.1289035
18,Sample_S19S_0043_Sed,252.0877348
65,Sample_S19S_0043_Sed,253.0353983
82,Sample_S19S_0043_Sed,253.0717756
8,Sample_S19S_0043_Sed,253.0829986
23,Sample_S19S_0043_Sed,253.1081345
42,Sample_S19S_0043_Sed,253.1445337
23,Sample_S19S_0043_Sed,254.0670222
68,Sample_S19S_0043_Sed,255.0510433
6,Sample_S19S_0043_Sed,255.0622462
90,Sample_S19S_0043_Sed,255.0874163
24,Sample_S19S_0043_Sed,255.1237776
40,Sample_S19S_0043_Sed,255.1602018
9,Sample_S19S_0043_Sed,255.2329705
27,Sample_S19S_0043_Sed,256.0826837
38,Sample_S19S_0043_Sed,257.0455598
5,Sample_S19S_0043_Sed,257.048925
69,Sample_S19S_0043_Sed,257.0666765
9,Sample_S19S_0043_Sed,257.0779166
47,Sample_S19S_0043_Sed,257.1030521
16,Sample_S19S_0043_Sed,257.1143128
51,Sample_S19S_0043_Sed,257.1394516
30,Sample_S19S_0043_Sed,257.175834
29,Sample_S19S_0043_Sed,258.0983343
16,Sample_S19S_0043_Sed,258.1347123
9,Sample_S19S_0043_Sed,258.1711136
74,Sample_S19S_0043_Sed,259.0823405
56,Sample_S19S_0043_Sed,259.1187072
13,Sample_S19S_0043_Sed,259.1299532
43,Sample_S19S_0043_Sed,259.1551113
13,Sample_S19S_0043_Sed,260.1503532
45,Sample_S19S_0043_Sed,261.040468
45,Sample_S19S_0043_Sed,261.061588
63,Sample_S19S_0043_Sed,261.0768598
50,Sample_S19S_0043_Sed,261.0980071
52,Sample_S19S_0043_Sed,261.1343647
1,Sample_S19S_0043_Sed,261.9555802
26,Sample_S19S_0043_Sed,263.019721
60,Sample_S19S_0043_Sed,263.0561329
23,Sample_S19S_0043_Sed,263.0924815
29,Sample_S19S_0043_Sed,263.128908
25,Sample_S19S_0043_Sed,264.087752
56,Sample_S19S_0043_Sed,265.0353938
64,Sample_S19S_0043_Sed,265.0717855
7,Sample_S19S_0043_Sed,265.07514
70,Sample_S19S_0043_Sed,265.1081545
6,Sample_S19S_0043_Sed,265.1479151
3,Sample_S19S_0043_Sed,266.089493
41,Sample_S19S_0043_Sed,267.0146829
79,Sample_S19S_0043_Sed,267.0510336
11,Sample_S19S_0043_Sed,267.0663132
2,Sample_S19S_0043_Sed,267.0735078
75,Sample_S19S_0043_Sed,267.0874299
