num.trans.involved.in,sample,peak
6,Sample_S19S_0036_Sed,241.0466195
8,Sample_S19S_0036_Sed,241.1081087
9,Sample_S19S_0036_Sed,241.1193918
8,Sample_S19S_0036_Sed,241.1445007
31,Sample_S19S_0036_Sed,241.1809156
4,Sample_S19S_0036_Sed,242.0670034
15,Sample_S19S_0036_Sed,242.139775
7,Sample_S19S_0036_Sed,242.1761465
6,Sample_S19S_0036_Sed,243.0622684
12,Sample_S19S_0036_Sed,243.0873816
11,Sample_S19S_0036_Sed,243.0986597
8,Sample_S19S_0036_Sed,243.1237626
19,Sample_S19S_0036_Sed,243.1601665
32,Sample_S19S_0036_Sed,243.1965883
47,Sample_S19S_0036_Sed,245.0666847
46,Sample_S19S_0036_Sed,245.1030642
3,Sample_S19S_0036_Sed,245.1142776
24,Sample_S19S_0036_Sed,245.1394342
7,Sample_S19S_0036_Sed,246.1095509
9,Sample_S19S_0036_Sed,246.134683
49,Sample_S19S_0036_Sed,247.0823368
9,Sample_S19S_0036_Sed,247.0935696
47,Sample_S19S_0036_Sed,247.118733
5,Sample_S19S_0036_Sed,247.1703275
14,Sample_S19S_0036_Sed,248.1139872
33,Sample_S19S_0036_Sed,249.1496147
6,Sample_S19S_0036_Sed,249.1529913
6,Sample_S19S_0036_Sed,250.1448617
1,Sample_S19S_0036_Sed,251.0594793
2,Sample_S19S_0036_Sed,251.0785764
56,Sample_S19S_0036_Sed,251.0925063
5,Sample_S19S_0036_Sed,251.0958765
34,Sample_S19S_0036_Sed,251.1289035
17,Sample_S19S_0036_Sed,253.1081345
44,Sample_S19S_0036_Sed,253.1445337
30,Sample_S19S_0036_Sed,255.0510433
2,Sample_S19S_0036_Sed,255.0622462
62,Sample_S19S_0036_Sed,255.0874163
21,Sample_S19S_0036_Sed,255.1237776
47,Sample_S19S_0036_Sed,255.1602018
39,Sample_S19S_0036_Sed,255.1965909
18,Sample_S19S_0036_Sed,255.2329705
36,Sample_S19S_0036_Sed,257.0666765
6,Sample_S19S_0036_Sed,257.0779166
32,Sample_S19S_0036_Sed,257.1030521
55,Sample_S19S_0036_Sed,257.1394516
36,Sample_S19S_0036_Sed,257.175834
31,Sample_S19S_0036_Sed,257.2122374
18,Sample_S19S_0036_Sed,258.0983343
18,Sample_S19S_0036_Sed,258.1347123
50,Sample_S19S_0036_Sed,259.0823405
5,Sample_S19S_0036_Sed,259.1009624
49,Sample_S19S_0036_Sed,259.1187072
12,Sample_S19S_0036_Sed,259.1299532
50,Sample_S19S_0036_Sed,259.1551113
30,Sample_S19S_0036_Sed,259.1914889
16,Sample_S19S_0036_Sed,260.1503532
37,Sample_S19S_0036_Sed,261.0980071
52,Sample_S19S_0036_Sed,261.1343647
1,Sample_S19S_0036_Sed,261.9555802
28,Sample_S19S_0036_Sed,263.128908
32,Sample_S19S_0036_Sed,263.1652771
1,Sample_S19S_0036_Sed,264.0473979
3,Sample_S19S_0036_Sed,265.0578564
25,Sample_S19S_0036_Sed,265.0717855
6,Sample_S19S_0036_Sed,265.07514
39,Sample_S19S_0036_Sed,265.1445692
6,Sample_S19S_0036_Sed,265.1479151
8,Sample_S19S_0036_Sed,265.1575521
15,Sample_S19S_0036_Sed,265.1809039
3,Sample_S19S_0036_Sed,266.089493
5,Sample_S19S_0036_Sed,267.0735078
47,Sample_S19S_0036_Sed,267.0874299
65,Sample_S19S_0036_Sed,267.123805
43,Sample_S19S_0036_Sed,267.1601848
40,Sample_S19S_0036_Sed,267.1965985
41,Sample_S19S_0036_Sed,269.0666802
50,Sample_S19S_0036_Sed,269.1030627
56,Sample_S19S_0036_Sed,269.1394657
47,Sample_S19S_0036_Sed,269.1758579
34,Sample_S19S_0036_Sed,269.2122378
12,Sample_S19S_0036_Sed,270.2074858
37,Sample_S19S_0036_Sed,271.0823212
69,Sample_S19S_0036_Sed,271.118718
14,Sample_S19S_0036_Sed,271.1299759
47,Sample_S19S_0036_Sed,271.1551343
45,Sample_S19S_0036_Sed,271.1914941
28,Sample_S19S_0036_Sed,271.227892
14,Sample_S19S_0036_Sed,272.1504094
54,Sample_S19S_0036_Sed,273.0979879
12,Sample_S19S_0036_Sed,273.109239
